GeoFips,GeoName,LineCode,IndustryName
04000,Arizona,83,Real GDP by state: Government and government enterprises (92)
04000,Arizona,84,Real GDP by state: Federal civilian
04000,Arizona,85,Real GDP by state: Military
04000,Arizona,86,Real GDP by state: State and local
05000,Arkansas,1,Real GDP by state: All industry total
05000,Arkansas,10,Real GDP by state: Utilities (22)
05000,Arkansas,11,Real GDP by state: Construction (23)
05000,Arkansas,12,Real GDP by state: Manufacturing (31-33)
05000,Arkansas,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
05000,Arkansas,2,Real GDP by state: Private industries
05000,Arkansas,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
05000,Arkansas,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
05000,Arkansas,34,Real GDP by state: Wholesale trade (42)
05000,Arkansas,35,Real GDP by state: Retail trade (44-45)
05000,Arkansas,36,Real GDP by state: Transportation and warehousing (48-49)
05000,Arkansas,45,Real GDP by state: Information (51)
05000,Arkansas,51,Real GDP by state: Finance and insurance (52)
05000,Arkansas,56,Real GDP by state: Real estate and rental and leasing (53)
05000,Arkansas,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
05000,Arkansas,60,"Real GDP by state: Professional, scientific, and technical services (54)"
05000,Arkansas,64,Real GDP by state: Management of companies and enterprises (55)
05000,Arkansas,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
05000,Arkansas,69,Real GDP by state: Educational services (61)
05000,Arkansas,70,Real GDP by state: Health care and social assistance (62)
05000,Arkansas,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
05000,Arkansas,79,Real GDP by state: Accommodation and food services (72)
05000,Arkansas,82,Real GDP by state: Other services (except government and government enterprises) (81)
05000,Arkansas,83,Real GDP by state: Government and government enterprises (92)
05000,Arkansas,84,Real GDP by state: Federal civilian
05000,Arkansas,85,Real GDP by state: Military
05000,Arkansas,86,Real GDP by state: State and local
06000,California,1,Real GDP by state: All industry total
06000,California,10,Real GDP by state: Utilities (22)
06000,California,11,Real GDP by state: Construction (23)
06000,California,12,Real GDP by state: Manufacturing (31-33)
06000,California,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
06000,California,2,Real GDP by state: Private industries
06000,California,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
06000,California,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
06000,California,34,Real GDP by state: Wholesale trade (42)
06000,California,35,Real GDP by state: Retail trade (44-45)
06000,California,36,Real GDP by state: Transportation and warehousing (48-49)
06000,California,45,Real GDP by state: Information (51)
06000,California,51,Real GDP by state: Finance and insurance (52)
06000,California,56,Real GDP by state: Real estate and rental and leasing (53)
06000,California,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
06000,California,60,"Real GDP by state: Professional, scientific, and technical services (54)"
06000,California,64,Real GDP by state: Management of companies and enterprises (55)
06000,California,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
06000,California,69,Real GDP by state: Educational services (61)
06000,California,70,Real GDP by state: Health care and social assistance (62)
06000,California,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
06000,California,79,Real GDP by state: Accommodation and food services (72)
06000,California,82,Real GDP by state: Other services (except government and government enterprises) (81)
06000,California,83,Real GDP by state: Government and government enterprises (92)
06000,California,84,Real GDP by state: Federal civilian
06000,California,85,Real GDP by state: Military
06000,California,86,Real GDP by state: State and local
08000,Colorado,1,Real GDP by state: All industry total
08000,Colorado,10,Real GDP by state: Utilities (22)
08000,Colorado,11,Real GDP by state: Construction (23)
08000,Colorado,12,Real GDP by state: Manufacturing (31-33)
08000,Colorado,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
08000,Colorado,2,Real GDP by state: Private industries
